2026年8月1日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
1,国府変電所,66,6.6,3,52,52,熱容量,－,30,－,不可＃２,－,有り,－,基変8,●
2,鳴門変電所,66,6.6,1,19,19,熱容量,－,0,－,不可＃２,－,－,－,－,※１●
5,徳島変電所,66,6.6,3,66,66,熱容量,－,60,－,不可＃２,－,有り,－,基変8,●
6,幸町変電所,66,6.6,2,57,57,熱容量,－,57,－,不可＃２,－,有り,－,基変8,●
7,末広変電所,66,6.6,3,52,52,熱容量,－,49,－,不可＃２,－,有り,－,基変8,●
8,雑賀変電所,66,6.6,3,52,52,熱容量,－,37,－,不可＃２,－,有り,－,基変8,●
9,田宮変電所,66,6.6,2,33,33,熱容量,－,29,－,不可＃２,－,有り,－,基変8,●
10,藍場変電所,66,6.6,2,47,47,熱容量,－,47,－,不可＃２,－,有り,－,基変8,●
11,蔵本変電所,66,6.6,3,47,47,熱容量,－,42,－,不可＃２,－,有り,－,基変8,●
12,三渓変電所,66,6.6,2,14,14,熱容量,－,12,－,不可＃２,－,有り,－,"基変8,送21",●
13,南井上変電所,66,6.6,1,19,19,熱容量,－,7,－,不可＃２,－,有り,－,基変8,※１●
14,上浦変電所,66,6.6,3,33,33,熱容量,－,2,－,不可＃２,－,有り,－,"基変8,送26",●
15,敷地変電所,66,6.6,3,42,42,熱容量,－,7,－,不可＃２,－,有り,－,"基変8,送26,27",●
16,寄井変電所,66,6.6,2,16,16,熱容量,－,15,－,不可＃２,－,有り,－,"基変8,送26,27",●
17,切幡変電所,66,6.6,3,49,49,熱容量,－,0,－,不可＃２,－,有り,－,"基変8,送26,27,31",●
18,林変電所,66,6.6,3,57,57,熱容量,－,2,－,不可＃２,－,有り,－,"基変8,送26,27,31",●
19,応神変電所,66,6.6,3,52,52,熱容量,－,44,－,不可＃２,－,－,－,－,●
19,応神変電所,66,22,2,19,19,熱容量,0,－,－,不可＃２,－,－,－,－,
20,大津変電所,66,6.6,2,38,38,熱容量,－,34,－,不可＃２,－,－,－,－,●
21,斉田変電所,66,6.6,2,33,33,熱容量,－,26,－,不可＃２,－,－,－,－,●
22,撫養変電所,66,6.6,3,26,26,熱容量,－,14,－,不可＃２,－,－,－,－,●
23,北島変電所,66,6.6,1,14,14,熱容量,－,11,－,不可＃２,－,－,－,－,※１●
24,今切変電所,66,6.6,3,57,57,熱容量,－,44,－,不可＃２,－,－,－,－,●
25,助任変電所,66,6.6,2,47,47,熱容量,－,47,－,不可＃２,－,－,－,－,●
26,板野変電所,66,6.6,3,42,42,熱容量,－,2,－,不可＃２,－,有り,－,"送55,56",●
27,上板変電所,66,6.6,3,52,52,熱容量,－,5,－,不可＃２,－,有り,－,"送55,56",● 増強計画考慮(2026/12運開予定)
28,平島変電所,66,6.6,3,38,38,熱容量,－,17,－,不可＃２,－,有り,－,基変10,●
