2026年8月1日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
29,赤石変電所,66,6.6,3,38,38,熱容量,－,19,－,不可＃２,－,有り,－,基変10,●
30,小松島変電所,66,6.6,2,38,38,熱容量,－,32,－,不可＃２,－,有り,－,基変8,●
31,桑野変電所,66,6.6,2,38,38,熱容量,－,17,－,不可＃２,－,有り,－,"基変10,送71",●
32,富岡変電所,66,6.6,2,38,38,熱容量,－,27,－,不可＃２,－,有り,－,"基変10,送71",●
33,辰巳変電所,66,6.6,1,19,19,熱容量,－,9,－,不可＃２,－,有り,－,"基変10,送71",※１●
34,橘変電所,66,6.6,2,16,16,熱容量,－,11,－,不可＃２,－,有り,－,基変10,●
35,鷲敷変電所,66,6.6,2,14,14,熱容量,－,10,－,不可＃２,－,有り,－,"基変10,送71,84",●
36,日野谷変電所,66,6.6,2,12,12,熱容量,－,10,－,不可＃２,－,有り,－,"基変10,送71,84,85",●
37,日和佐変電所,66,6.6,2,14,14,熱容量,－,13,－,不可＃２,－,有り,－,"基変10,送71,84,85,88",●
38,牟岐変電所,66,6.6,2,14,14,熱容量,－,11,－,不可＃２,－,有り,－,"基変10,送71,84,85,88",●
39,海南変電所,66,6.6,2,19,19,熱容量,－,16,－,不可＃２,－,有り,－,"基変10,送71,84,85,88",●
40,甲浦変電所,66,6.6,2,12,12,熱容量,－,8,－,不可＃２,－,有り,－,"基変10,送71,84,85,88",●
41,松尾川第二変電所,66,6.6,2,28,28,熱容量,－,16,－,不可＃２,－,有り,－,基変12,●
42,三野変電所,66,6.6,3,42,42,熱容量,－,4,－,不可＃２,－,有り,－,基変12,●
42,三野変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,基変12,◇●
43,貞光変電所,66,6.6,2,33,33,熱容量,－,12,－,不可＃２,－,有り,－,基変12,●
43,貞光変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,基変12,◇
44,切越変電所,66,6.6,1,2,2,熱容量,－,0,－,不可＃２,－,有り,－,基変12,※１●
45,脇町変電所,66,6.6,3,26,26,熱容量,－,0,－,不可＃２,－,有り,－,基変12,●
46,穴吹変電所,66,6.6,1,7,7,熱容量,－,0,－,不可＃２,－,有り,－,基変12,※１●
47,山川変電所,66,6.6,2,21,21,熱容量,－,0,－,不可＃２,－,有り,－,基変12,●
48,池田変電所,66,6.6,2,28,28,熱容量,－,24,－,不可＃２,－,有り,－,"基変12,送113",●
49,出合変電所,66,6.6,1,7,7,熱容量,－,7,－,不可＃２,－,有り,－,"基変12,送113",※１●
50,伊予川変電所,66,6.6,1,4,4,熱容量,－,3,－,不可＃２,－,有り,－,"基変12,送113",※１●
51,一宇変電所,66,6.6,1,2,2,熱容量,－,0,－,不可＃２,－,有り,－,"基変12,送113",※１●
52,祖谷変電所,66,6.6,1,1,1,熱容量,－,0.9,－,不可＃２,－,有り,－,"基変12,送113",※１●
53,名頃変電所,66,6.6,1,2,2,熱容量,－,2,－,不可＃２,－,有り,－,"基変12,送113",※１●
55,広野変電所,66,6.6,1,4,4,熱容量,－,2,－,不可＃２,－,有り,－,基変11,※１●
