2026年7月31日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
3,美幌変電所,66,6.6,2,20,10,熱容量,―,5,0,不可　♯３,―,有り,―,A,
5,稲美変電所,66,6.6,2,20,10,熱容量,―,8,0,不可　♯３,―,有り,―,A,
14,小清水変電所,66,6.6,1,10,10,熱容量,―,7,0,不可　♯３,―,有り,―,"A,送12,送13",※１
18,斜里変電所,66,33,2,20,10,熱容量,-5,―,―,可,1,有り,―,"A,送12,送13",
18,斜里変電所,66,6.6,2,16,6,熱容量,―,2,0,不可　♯３,―,有り,―,"A,送12,送13",
20,宇登呂変電所,33,6.6,1,6,6,熱容量,―,6,0,不可　♯３,―,有り,―,"A,送12,送13,送19",※１
22,東藻琴変電所,66,6.6,1,10,7,熱容量,―,6,0,不可　♯３,―,有り,―,"A,送12",※１
25,清里変電所,66,6.6,2,20,10,熱容量,―,6,0,不可　♯３,―,有り,―,"A,送12,送13",
28,湖南変電所,66,6.6,2,16,6,熱容量,―,5,0,不可　♯３,―,有り,―,A,
32,網走変電所,66,6.6,3,45,30,熱容量,―,10,0,不可　♯３,―,有り,―,A,※２
34,潮見変電所,66,6.6,2,20,10,熱容量,―,9,0,不可　♯３,―,有り,―,A,
39,常呂変電所,66,6.6,2,16,6,熱容量,―,6,0,不可　♯３,―,有り,―,A,
