2026年7月31日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
1,旭川変電所,110,66,2,200,100,熱容量,83,―,―,可,100,有り,―,A,
1,旭川変電所,66,33,1,―,―,熱容量,―,―,―,―,―,有り,―,A,◇
1,旭川変電所,66,6.6,3,60,40,熱容量,―,20,0,不可　♯３,―,有り,―,A,※２
3,東光変電所,110,6.6,3,45,30,熱容量,―,15,0,不可　♯３,―,有り,―,A,※２
7,安足間変電所,110,6.6,1,10,10,熱容量,―,10,0,不可　♯３,―,有り,―,"A,送5",※１
9,層雲峡変電所,110,11,1,26,26,熱容量,-24,―,―,不可　♯２,―,有り,―,"A,送5",※１
9,層雲峡変電所,11,6.6,1,4.5,4.5,熱容量,―,4,0,不可　♯３,―,有り,―,"A,送5",※１
11,大雪変電所,110,6.6,1,22,22,熱容量,-20,―,―,不可　♯２,―,有り,―,"A,送5",※１
11,大雪変電所,6.6,6.6,1,1,1,熱容量,―,1,0,不可　♯３,―,有り,―,"A,送5",※１
13,上川変電所,110,66,1,50,50,熱容量,-30,―,―,不可　♯２,―,有り,―,"A,送5",※１
13,上川変電所,110,6.6,1,10,10,熱容量,―,6,0,不可　♯３,―,有り,―,"A,送5",※１
16,当麻変電所,110,6.6,2,20,10,熱容量,―,8,0,不可　♯３,―,有り,―,A,
18,愛別変電所,110,6.6,1,6,6,熱容量,-6,―,―,不可　♯２,―,有り,対象,"A,送5",※１
18,愛別変電所,6.6,6.6,1,6,6,熱容量,―,5,0,不可　♯３,―,有り,―,"A,送5,変18(110/6.6kV)",※１
21,新旭川変電所,66,6.6,2,30,15,熱容量,―,15,0,不可　♯３,―,有り,―,A,
23,永山変電所,66,6.6,2,25,10,熱容量,―,10,0,不可　♯３,―,有り,―,A,
27,忠別川変電所,66,6.6,1,10,10,熱容量,―,8,0,不可　♯３,―,有り,―,A,※１
30,江卸変電所,66,6.6,1,4,4,熱容量,―,4,0,不可　♯３,―,有り,―,A,※１
33,東川変電所,66,6.6,2,25,10,熱容量,―,10,0,不可　♯３,―,有り,―,A,
36,美瑛変電所,66,6.6,2,20,10,熱容量,―,10,0,不可　♯３,―,有り,―,A,
39,七条変電所,66,6.6,2,40,20,熱容量,―,20,0,不可　♯３,―,有り,―,A,※１
41,神居変電所,66,6.6,2,30,15,熱容量,―,15,0,不可　♯３,―,有り,―,A,
