2026年7月31日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
1,西札幌変電所,66,6.6,1,20,20,熱容量,―,20,20,不可　♯2,―,―,―,,※１
4,茨戸変電所,66,6.6,2,40,20,熱容量,―,19,0,不可　♯2,―,有り,―,送3,
9,石狩変電所,66,6.6,2,40,20,熱容量,―,6,0,不可　♯2,―,有り,―,"送3,送5,送6,送7,送8",
11,屯田変電所,66,6.6,2,40,20,熱容量,―,20,0,不可　♯2,―,―,―,,
32,琴似変電所,66,6.6,3,60,40,熱容量,―,20,20,不可　♯2,―,―,―,,※２
34,二十四軒変電所,66,6.6,2,40,20,熱容量,―,20,20,不可　♯2,―,―,―,,
43,宮の沢変電所,66,6.6,3,50,30,熱容量,―,15,15,不可　♯2,―,―,―,,※２
47,山の手変電所,66,6.6,3,60,40,熱容量,―,20,20,不可　♯2,―,―,―,,※２
54,西野三条変電所,66,6.6,2,40,20,熱容量,―,20,20,不可　♯2,―,―,―,,
63,手稲変電所,66,6.6,2,40,20,熱容量,―,20,20,不可　♯2,―,―,―,,
67,前田変電所,66,6.6,3,60,40,熱容量,―,19,19,不可　♯2,―,―,―,,※２
71,樽川変電所,66,6.6,2,40,20,熱容量,―,20,0,不可　♯2,―,有り,―,送70,
