2025年5月29日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
1,南九条変電所,66,6.6,2,40,20,熱容量,―,20,20,不可　♯１,―,―,―,―,
11,円山変電所,66,6.6,3,60,40,熱容量,―,20,20,不可　♯１,―,―,―,―,※１
16,桑園変電所,66,6.6,3,70,40,熱容量,―,20,20,不可　♯１,―,―,―,―,※１
21,大通変電所,66,6.6,3,90,60,熱容量,―,30,30,不可　♯１,―,―,―,―,※１
32,南三条変電所,66,6.6,2,60,30,熱容量,―,30,30,不可　♯１,―,―,―,―,
42,豊平変電所,66,6.6,3,60,40,熱容量,―,20,20,不可　♯１,―,―,―,―,※１
43,薄野変電所,66,6.6,3,90,60,熱容量,―,30,30,不可　♯１,―,―,―,―,※１
51,山鼻変電所,66,6.6,2,40,20,熱容量,―,20,20,不可　♯１,―,―,―,―,
