2026年7月31日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
1,留辺蘂変電所,66,22,1,10,10,熱容量,-6,―,―,不可　♯２,―,有り,―,A,※１
1,留辺蘂変電所,66,6.6,1,15,15,熱容量,―,1,0,不可　♯３,―,有り,―,A,※１
3,置戸変電所,22,6.6,1,6,6,熱容量,―,3,0,不可　♯３,―,有り,―,A,※１
5,小利別変電所,22,6.6,1,3,3,熱容量,―,1,0,不可　♯３,―,有り,―,"A,送4",※１
8,陸別変電所,22,6.6,1,6,6,熱容量,―,4,0,不可　♯３,―,有り,―,"A,送4",※１
11,北見西変電所,66,6.6,2,20,10,熱容量,―,4,0,不可　♯３,―,有り,―,A,
13,北見変電所,66,6.6,3,40,25,熱容量,―,10,0,不可　♯３,―,有り,―,A,※２
16,津別変電所,66,6.6,2,17,7,熱容量,―,4,0,不可　♯３,―,有り,―,A,
20,訓子府変電所,66,6.6,1,10,10,熱容量,―,6,0,不可　♯３,―,有り,―,A,※１
25,田端変電所,66,6.6,3,40,25,熱容量,―,10,0,不可　♯３,―,有り,―,A,※２
27,相内変電所,66,6.6,2,16,6,熱容量,―,0,0,不可　♯３,―,有り,―,A,
29,清見変電所,66,6.6,2,30,15,熱容量,―,15,0,不可　♯３,―,有り,―,A,
33,遠軽変電所,66,6.6,2,30,15,熱容量,―,11,0,不可　♯３,―,有り,―,"A,送31,送32",
40,紋別変電所,66,6.6,3,40,25,熱容量,―,1,0,不可　♯３,―,有り,―,"A,送31,送32,送34",※２
42,興部変電所,66,22,1,20,20,熱容量,-3,―,―,不可　♯２,―,有り,―,"A,送31,送32,送34",※１
42,興部変電所,66,6.6,1,10,10,熱容量,―,10,0,不可　♯３,―,有り,―,"A,送31,送32,送34",※１
44,沢木変電所,22,6.6,1,6,6,熱容量,―,5,0,不可　♯３,―,有り,―,"A,送31,送32,送34",※１
46,雄武変電所,22,6.6,1,10,10,熱容量,―,9,0,不可　♯３,―,有り,―,"A,送31,送32,送34",※１
48,生田原変電所,66,6.6,1,6,6,熱容量,―,2,0,不可　♯３,―,有り,―,"A,送31",※１
50,佐呂間変電所,66,6.6,1,10,10,熱容量,―,5,0,不可　♯３,―,有り,―,"A,送31,送32",※１
53,丸瀬布変電所,66,6.6,1,3,3,熱容量,―,0,0,不可　♯３,―,有り,―,"A,送31,送32",※１
55,白滝変電所,66,6.6,1,3,3,熱容量,―,1,0,不可　♯３,―,有り,―,"A,送31,送32",※１
58,学田変電所,66,6.6,1,6,6,熱容量,―,5,0,不可　♯３,―,有り,―,"A,送31,送32",※１
60,中湧別変電所,66,6.6,2,16,6,熱容量,―,0,0,不可　♯３,―,有り,―,"A,送31,送32",
62,上渚滑変電所,66,6.6,1,3,3,熱容量,―,0,0,不可　♯３,―,有り,―,"A,送31,送32,送34",※１
65,滝の上変電所,22,6.6,1,3,3,熱容量,―,0,0,不可　♯３,―,有り,―,"A,送31,送32,送34",※１
