2026年7月31日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
3,新星変電所,66,6.6,3,45,30,熱容量,―,15,0,不可　♯１,―,―,―,"「187kV以上系統」の送68,送69",※１
5,秋月変電所,66,6.6,2,30,15,熱容量,―,15,0,不可　♯１,―,―,―,同上,
10,旭川中央変電所,66,6.6,3,60,40,熱容量,―,20,0,不可　♯１,―,―,―,同上,※１
12,忠和変電所,66,6.6,2,20,10,熱容量,―,9,0,不可　♯１,―,―,―,同上,
15,近文変電所,66,6.6,3,55,35,熱容量,―,15,0,不可　♯１,―,―,―,同上,※１
