2026年8月5日更新,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)[MW],運用容量値[MW],運用容量制約要因,予想潮流[MW],空き容量[MW],N-1電制適用可否,N-1電制適用可能量[MW],平常時出力制御の可能性,平常時出力制御が必要となりうる設備－当該設備,平常時出力制御が必要となりうる設備－上位系設備,備考
ISS001,北金沢　77/6kV,77,6.6,3,76,59,熱容量,-,21,-,-,－,-,－,●
ISS002,高松,77,6.6,2,38,24,熱容量,-,8,-,-,－,-,－,●
ISS003,宇ノ気,77,6.6,3,57,47,熱容量,-,15,-,-,－,-,－,●
ISS004,津幡,77,6.6,3,57,47,熱容量,-,20,-,-,－,-,－,●
ISS005,大浦　77/6kV,77,6.6,2,38,24,熱容量,-,19,-,-,－,-,－,●
ISS006,大浦　77/22kV,77,22,2,38,24,熱容量,-4,-,不可　#3,－,－,－,－,
ISS007,浅野,77,6.6,3,76,59,熱容量,-,23,-,-,－,-,－,●
ISS008,北安江　77/6kV,77,6.6,3,57,47,熱容量,-,21,-,-,－,-,－,●
ISS009,北安江　77/22kV,77,22,2,38,19,熱容量,1,-,不可　#3,－,－,-,－,
ISS010,金石　77/6kV,77,6.6,2,38,24,熱容量,-,20,-,-,－,-,－,●
ISS011,金石　77/22kV,77,22,2,38,24,熱容量,3,-,不可　#3,－,－,-,－,
ISS012,東金沢　77/6kV,77,6.6,2,38,24,熱容量,-,20,-,-,－,-,－,●
ISS013,東金沢　77/22kV,77,22,2,48,24,熱容量,1,-,不可　#3,－,－,－,－,
ISS014,金沢中央,77,6.6,2,38,24,熱容量,-,21,-,-,－,-,－,●
ISS015,長坂,77,6.6,3,48,35,熱容量,-,16,-,-,－,-,－,●
ISS016,田上,77,6.6,2,38,24,熱容量,-,20,-,-,－,-,－,●
ISS017,増泉,77,6.6,2,57,35,熱容量,-,29,-,-,－,-,－,●
ISS018,大工町,77,6.6,2,38,24,熱容量,-,20,-,-,－,-,－,●
ISS019,西金沢　77/6kV,77,6.6,3,86,71,熱容量,-,33,-,-,－,-,－,●
ISS020,,77,22,1,,,熱容量,,-,,,－,－,－,◇
ISS021,額,77,6.6,3,57,38,熱容量,-,20,-,-,－,-,－,●
ISS022,安原,77,6.6,3,67,47,熱容量,-,21,-,-,－,-,－,●
ISS023,松任,77,6.6,3,57,47,熱容量,-,19,-,-,－,-,－,●
ISS024,美川,77,6.6,3,57,47,熱容量,-,17,-,-,－,-,－,●
ISS025,鞍月　77/6kV,77,6.6,2,57,35,熱容量,-,31,-,-,－,-,－,●
ISS026,鞍月　77/22kV,77,22,1,19,19,熱容量,0,-,不可　#3,－,－,-,－,
ISS027,泉野,77,6.6,2,57,35,熱容量,-,29,-,-,－,-,－,●
ISS028,昭和町,77,6.6,2,57,35,熱容量,-,32,-,-,－,-,－,●
ISS029,竹松,77,6.6,2,57,35,熱容量,-,28,-,-,－,-,－,●
ISS030,下林,77,6.6,2,38,24,熱容量,-,19,-,-,－,-,－,●
ISS031,久常,77,6.6,3,57,47,熱容量,-,20,-,-,－,-,－,●
ISS032,根上,77,6.6,3,57,47,熱容量,-,19,-,-,－,-,－,●
ISS033,小松,77,6.6,3,71,53,熱容量,-,15,-,-,－,-,－,●
ISS034,安宅　77/6kV,77,6.6,2,38,24,熱容量,-,16,-,-,－,-,－,●
ISS035,安宅　77/22kV,77,22,2,33,18,熱容量,0,-,不可　#3,－,－,－,－,
ISS036,粟津,77,6.6,3,76,59,熱容量,-,18,-,-,－,-,－,●
ISS037,大聖寺　77/6kV,77,6.6,3,57,47,熱容量,-,15,-,-,－,-,－,●
ISS038,,77,22,2,,,熱容量,,-,,,－,－,－,◇
ISS039,片山津,77,6.6,2,38,24,熱容量,-,14,-,-,－,-,－,●
ISS040,山中 77/33kV,77,33,1,14,14,熱容量,-11,-,不可　#3,－,－,－,－,
ISS041,山中　77/6kV,77,6.6,2,38,24,熱容量,-,17,-,-,－,-,－,●
ISS042,山代,77,6.6,2,38,24,熱容量,-,16,-,-,－,-,－,●
ISS043,沢,77,6.6,2,19,12,熱容量,-,6,-,-,－,-,－,●
ISS044,箱宮,77,6.6,2,38,24,熱容量,-,7,-,-,－,-,－,●
ISS045,枯渕,33,6.6,1,4,4,熱容量,-,4,-,-,－,-,－,●
ISS046,九谷　直配,6.6,6.6,1,1,1,熱容量,-,0,-,-,－,-,－,●
ISS047,荒木田,77,6.6,2,38,24,熱容量,-,19,-,-,－,-,－,●
ISS048,川北,77,6.6,3,57,47,熱容量,-,18,-,-,－,-,－,●
ISS049,鶴来,77,6.6,2,38,24,熱容量,-,17,-,-,－,-,－,●
ISS050,福岡第一　直配,77,6.6,1,7,7,熱容量,-,4,-,-,－,-,－,●
ISS051,吉野第一　直配,77,6.6,1,6,6,熱容量,-,3,-,-,－,-,－,●
ISS052,吉野谷　直配,77,6.6,1,10,10,熱容量,-,8,-,-,－,-,－,●
ISS053,尾口　直配,77,6.6,1,6,6,熱容量,-,5,-,-,有り,-,I067,●
ISS055,三ツ又第一　直配,6.6,6.6,1,1,1,熱容量,-,1,-,-,有り,-,"I064,I067",●
ISS056,桑島　直配,77,6.6,1,9,9,熱容量,-,8,-,-,－,-,－,●
ISS057,白峰　直配,77,6.6,2,23,10,熱容量,-,8,-,-,－,-,－,●
ISS058,市ノ瀬　直配,6.6,6.6,1,1,1,熱容量,-,0,-,-,－,-,－,●
ISS059,羽咋,66,6.6,3,57,47,熱容量,-,7,-,-,－,-,－,●
ISS060,押水 77/66kV,77,66,1,95,95,熱容量,13,-,不可　#3,－,－,－,－,
ISS061,押水　66/6kV,66,6.6,2,38,24,熱容量,-,0,-,-,－,-,－,●
ISS062,能登部,66,6.6,3,52,41,熱容量,-,14,-,-,有り,-,I100,●
ISS063,高浜,66,6.6,2,38,24,熱容量,-,5,-,-,有り,-,I101,●
ISS064,若葉台,66,6.6,2,38,24,熱容量,-,2,-,-,有り,-,"I101,I103",●
ISS065,富来,66,6.6,2,29,12,熱容量,-,4,-,-,有り,-,"I101,I103,I106",●
ISS066,徳田,66,6.6,2,38,24,熱容量,-,16,-,-,－,-,－,●
ISS067,七尾,66,6.6,3,57,47,熱容量,-,16,-,-,－,-,－,●
ISS068,和倉,66,6.6,2,38,24,熱容量,-,6,-,-,－,-,－,●
ISS069,中島　66/6kV,66,6.6,2,29,12,熱容量,-,0,-,-,有り,-,"I100,I113",●
ISS070,中島　66/22kV,66,22,1,10,10,熱容量,-,7,-,-,有り,-,"I100,I113",●
ISS071,穴水,66,6.6,2,19,12,熱容量,-,7,-,-,有り,-,"H040,I115",●
ISS072,瑞穂,66,6.6,2,19,10,熱容量,-,4,-,-,有り,-,"H040,I115,I118",●
ISS073,宇出津　66/6kV,66,6.6,2,29,12,熱容量,-,3,-,-,有り,-,"H040,I115,I118",●
ISS074,宇出津　66/22kV,66,22,1,14,14,熱容量,0,-,不可　#3,－,有り,－,"H040,I115,I118",
ISS075,内浦,66,6.6,2,19,12,熱容量,-,7,-,-,有り,-,"H040,I115,I118,I120",●
ISS076,飯田,66,6.6,2,38,24,熱容量,-,13,-,-,有り,-,"H040,I115,I118,I120",●
ISS077,門前,66,6.6,2,19,12,熱容量,-,6,-,-,有り,-,H040,●
ISS078,輪島,66,6.6,2,38,24,熱容量,-,19,-,-,有り,-,H040,●
ISS079,湖南,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
ISS080,内灘,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
ISS081,鶴ヶ丘,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
ISS082,大浜,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
ISS083,千鳥台,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
ISS084,第2千鳥台,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
ISS085,蚊爪,22,6.6,1,5,5,熱容量,-,4,-,-,－,-,－,●
ISS086,湊,22,6.6,1,5,5,熱容量,-,3,-,-,－,-,－,●
ISS087,北陽台,22,6.6,1,5,5,熱容量,-,4,-,-,－,-,－,●
ISS088,河原市,22,6.6,1,5,5,熱容量,-,4,-,-,－,-,－,●
ISS089,白帆台,22,6.6,1,5,5,熱容量,-,3,-,-,－,-,－,●
ISS090,鉄工中配電塔,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
ISS091,鉄工北配電塔,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
ISS092,鉄工西配電塔,22,6.6,1,5,5,熱容量,-,3,-,-,－,-,－,●
ISS093,鉄工東配電塔,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
ISS094,鉄工南配電塔,22,6.6,1,5,5,熱容量,-,5,-,-,－,-,－,●
