2026年8月5日更新,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)[MW],運用容量値[MW],運用容量制約要因,予想潮流[MW],空き容量[MW],N-1電制適用可否,N-1電制適用可能量[MW],平常時出力制御の可能性,平常時出力制御が必要となりうる設備－当該設備,平常時出力制御が必要となりうる設備－上位系設備,備考
TSS015,馬場島,66,6.6,1,1,1,熱容量,-,0,-,-,有り,-,"H104,H105,H012,H026,HSS003,T044,T046",●
TSS016,舟橋,66,6.6,2,38,24,熱容量,-,16,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS017,新寺田66/22kV,66,22,2,29,18,熱容量,-13,-,不可　#3,－,有り,-,"H104,H105,H012,H026,HSS003",
TSS018,上市,66,6.6,2,38,24,熱容量,-,18,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS019,五百石,66,6.6,2,33,18,熱容量,-,3,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS020,水橋,66,6.6,2,38,24,熱容量,-,17,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS021,真川,66,6.6,1,6,6,熱容量,-,5,-,-,有り,-,"H104,H105,H026,HSS003,T078,T082,T083",●
TSS022,小見,66,6.6,1,6,6,熱容量,-,5,-,-,有り,-,"H104,H105,H026,HSS003,T078,T082,T083",●
TSS023,常願寺第一,66,6.6,2,17,9,熱容量,-,3,-,-,有り,-,"H104,H105,H026,HSS003,T078,T082,T083",●
TSS024,上滝,66,6.6,1,8,8,熱容量,-,1,-,-,有り,-,"H104,H105,H026,HSS003,T078,T082,T083",●
TSS025,東富山,66,6.6,3,76,59,熱容量,-,19,-,-,有り,-,"H104,H105,HSS003",●
TSS026,,66,22,2,,,熱容量,,-,,,有り,-,"H104,H105,HSS003",◇
TSS027,奥田,66,6.6,2,57,35,熱容量,-,28,-,-,有り,-,"H104,H105,H026,HSS003,T078",●
TSS028,奥田66/22kV,66,22,2,38,24,熱容量,0,-,不可　#3,－,有り,-,"H104,H105,H026,HSS003,T078",
TSS029,岩瀬,66,6.6,3,57,47,熱容量,-,15,-,-,有り,-,"H104,H105,H026,HSS003",●
TSS030,針原,66,6.6,3,57,47,熱容量,-,18,-,-,有り,-,"H104,H105,H026,HSS003",●
TSS031,広田,66,6.6,2,57,35,熱容量,-,29,-,-,有り,-,"H104,H105,H026,HSS003",●
TSS032,富山,66,6.6,3,57,47,熱容量,-,17,-,-,有り,-,"H104,H105,H026,HSS003",●
TSS033,牛島,66,6.6,2,57,35,熱容量,-,31,-,-,有り,-,"H104,H105,H026,HSS003",●
TSS034,中富山,66,6.6,2,57,35,熱容量,-,30,-,-,有り,-,"H104,H105,H026,HSS003",●
TSS035,富南,66,6.6,3,57,47,熱容量,-,18,-,-,有り,-,"H104,H105,HSS003",●
TSS036,南富山,66,6.6,2,57,35,熱容量,-,28,-,-,有り,-,"H104,H105,HSS003",●
TSS037,城南,66,6.6,2,57,35,熱容量,-,32,-,-,有り,-,"H104,H105,HSS003",●
TSS038,掛尾,66,6.6,2,57,35,熱容量,-,31,-,-,有り,-,"H104,H105,HSS003",●
TSS039,婦中,66,6.6,3,67,47,熱容量,-,20,-,-,有り,-,"H104,H105,HSS003",●
TSS040,猪谷,66,6.6,1,6,6,熱容量,-,4,-,-,有り,-,"H104,H105,HSS003,T129",●
TSS041,大沢野,66,6.6,3,52,41,熱容量,-,10,-,-,有り,-,"H104,H105,HSS003",●
TSS042,五平定,66,6.6,2,38,24,熱容量,-,7,-,-,有り,-,"H104,H105,HSS003",●
TSS043,八尾,66,6.6,3,57,47,熱容量,-,15,-,-,有り,-,"H104,H105,HSS003",●
TSS044,八尾66/22kV,66,22,1,19,19,熱容量,1,-,不可　#3,－,有り,-,"H104,H105,HSS003",
TSS045,東射水,66,6.6,3,57,47,熱容量,-,13,-,-,有り,-,"H104,H105,HSS003",●
TSS046,射水,66,6.6,2,38,24,熱容量,-,17,-,-,有り,-,"H104,H105,HSS003",●
TSS047,小杉,66,6.6,3,67,47,熱容量,-,21,-,-,有り,-,"H104,H105,HSS003",●
TSS048,大門,66,6.6,2,38,24,熱容量,-,16,-,-,有り,-,"H104,H105,HSS003",●
TSS049,新湊,66,6.6,2,38,24,熱容量,-,17,-,-,有り,-,"H104,H105,HSS003",●
TSS050,南高岡,66,6.6,2,57,35,熱容量,-,30,-,-,有り,-,"H104,H105,HSS003",●
TSS051,高岡,66,6.6,3,76,59,熱容量,-,22,-,-,-,-,-,●
TSS052,伏木66/22kV,66,22,2,38,24,熱容量,1,-,不可　#3,－,-,-,-,
TSS053,米島,66,6.6,2,38,24,熱容量,-,18,-,-,-,-,-,●
TSS054,西高岡,66,6.6,2,38,24,熱容量,-,20,-,-,有り,-,"H104,H105,HSS003",●
TSS055,沖布,66,6.6,2,48,24,熱容量,-,18,-,-,-,-,-,●
TSS056,,66,22,1,,,熱容量,,-,,,-,-,-,◇
TSS057,氷見,66,6.6,3,67,47,熱容量,-,18,-,-,-,-,-,●
TSS058,戸出,66,6.6,2,38,24,熱容量,-,17,-,-,有り,-,"H104,H105,HSS003,T173",●
TSS059,井波,66,6.6,2,38,24,熱容量,-,18,-,-,有り,-,"H104,H105,HSS003,T173",●
TSS060,早川,66,6.6,3,67,47,熱容量,-,19,-,-,有り,-,"H104,H105,HSS003",●
TSS061,福岡,66,6.6,3,57,47,熱容量,-,18,-,-,有り,-,"H104,H105,HSS003",●
TSS062,庄西,66,6.6,2,38,24,熱容量,-,15,-,-,有り,-,"H104,H105,HSS003",●
TSS063,砺波,66,6.6,3,57,47,熱容量,-,19,-,-,有り,-,"H104,H105,HSS003",●
TSS064,石動,66,6.6,3,57,47,熱容量,-,15,-,-,有り,-,"H104,H105,HSS003,T173",●
TSS065,浅地,66,6.6,1,19,19,熱容量,-,11,-,-,有り,-,"H104,H105,HSS003,T173",●
TSS066,福野,66,6.6,2,38,24,熱容量,-,19,-,-,有り,-,"H104,H105,HSS003",●
TSS067,福野66/22kV,66,22,2,19,12,熱容量,-,9,-,-,有り,-,"H104,H105,HSS003",●
TSS068,福光,66,6.6,3,62,41,熱容量,-,12,-,-,有り,-,"H104,H105,HSS003,T173",●
TSS069,,66,22,1,,,熱容量,,-,,,有り,-,"H104,H105,HSS003,T173",◇
TSS070,城端,66,6.6,2,38,24,熱容量,-,16,-,-,有り,-,"H104,H105,HSS003,T173",●
TSS071,中崎,66,6.6,1,11,11,熱容量,-,0,-,-,有り,-,"H104,H105,HSS003,HSS039",●
TSS072,婦中66/22kV,66,22,2,38,24,熱容量,-11,-,不可　#3,－,有り,-,"H104,H105,HSS003",
TSS073,第一押川,22,6.6,1,6,6,熱容量,-,3,-,-,有り,-,"H104,H105,HSS003",●
TSS074,早月第一66/22kV,66,22,1,8,8,熱容量,-,0,-,-,有り,-,"H104,H105,H012,H026,HSS003,T044",●
TSS075,常願寺川第三,66,22,1,11,11,熱容量,-,0,-,-,有り,-,"H104,H105,H026,HSS003,T078,T082,T083",●
TSS076,,66,11,2,,,熱容量,,-,,,有り,-,"H104,H105,H012,H026,HSS003",◇
