2026年8月5日更新,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)[MW],運用容量値[MW],運用容量制約要因,予想潮流[MW],空き容量[MW],N-1電制適用可否,N-1電制適用可能量[MW],平常時出力制御の可能性,平常時出力制御が必要となりうる設備－当該設備,平常時出力制御が必要となりうる設備－上位系設備,備考
TSS001,境川第二,66,6.6,2,19,12,熱容量,-,7,-,-,有り,-,"H104,H105,H012,H026,HSS003,T006,T012",●
TSS002,泊,66,6.6,2,38,24,熱容量,-,8,-,-,有り,-,"H104,H105,H012,H026,HSS003,T006,T012",●
TSS003,黒東第二,66,6.6,1,11,11,熱容量,-,12,-,-,有り,-,"H104,H105,H012,H026,HSS003,T012",●
TSS004,入善,66,6.6,2,38,24,熱容量,-,20,-,-,有り,-,"H104,H105,H012,H026,HSS003,T012",●
TSS005,,66,22,2,,,熱容量,-,18,-,-,有り,-,"H104,H105,H012,H026,HSS003,T012",◇●
TSS006,黒部,66,6.6,2,38,24,熱容量,-,9,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS007,桜井,66,6.6,3,57,47,熱容量,-,18,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS008,宇奈月,66,6.6,2,19,12,熱容量,-,7,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS009,江口,66,6.6,1,19,19,熱容量,-,20,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS010,魚津,66,6.6,3,57,47,熱容量,-,18,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS011,東滑川,66,6.6,2,38,24,熱容量,-,17,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS012,早月第一,66,6.6,1,6,6,熱容量,-,3,-,-,有り,-,"H104,H105,H012,H026,HSS003,T044",●
TSS013,高月,66,6.6,3,57,47,熱容量,-,17,-,-,有り,-,"H104,H105,H012,H026,HSS003",●
TSS014,伊折,66,6.6,1,1,1,熱容量,-,1,-,-,有り,-,"H104,H105,H012,H026,HSS003,T044,T046",●
