行,変電所名,都道府県,結果,緯度,経度,OSM側の名称
942,大越変電所,福島県,一致なし,,,
943,女池変電所,新潟県,一致なし,,,
945,妙高変電所,新潟県,一致なし,,,
946,安達変電所,福島県,一致なし,,,
947,宮崎変電所,宮城県,一致なし,,,
948,宮町変電所,山形県,一致なし,,,
949,富谷変電所,宮城県,一致なし,,,
950,寒河江変電所,山形県,一致なし,,,
951,寒河江陵西変電所,山形県,一致なし,,,
952,小国変電所,山形県,一致なし,,,
953,小松変電所,山形県,一致なし,,,
954,小野変電所,宮城県,一致なし,,,
955,小須戸変電所,新潟県,一致なし,,,
956,小鶴新田変電所,宮城県,一致なし,,,
957,尾花沢変電所,山形県,一致なし,,,
958,山の下変電所,新潟県,一致なし,,,
959,山元変電所,宮城県,一致なし,,,
960,岩代変電所,福島県,一致なし,,,
961,岩出山変電所,宮城県,一致なし,,,
962,岩城亀田変電所,秋田県,一致なし,,,
963,岩室変電所,新潟県,一致なし,,,
964,岩月変電所,福島県,一致なし,,,
965,岩泉変電所,岩手県,一致なし,,,
966,岩谷変電所,秋田県,一致なし,,,
967,川根変電所,新潟県,一致なし,,,
968,常盤変電所,岩手県,一致なし,,,
969,平大町変電所,福島県,一致なし,,,
970,広小路変電所,秋田県,一致なし,,,
971,広瀬通変電所,宮城県,一致なし,,,
972,成田変電所,宮城県,一致なし,,,
973,戸沢変電所,山形県,一致なし,,,
974,新井変電所,新潟県,一致なし,,,
975,新屋変電所,秋田県,一致なし,,,
977,新庄十日町変電所,山形県,一致なし,,,
978,新浜変電所,宮城県,一致なし,,,
979,日吉変電所,新潟県,一致なし,,,
980,旭ヶ丘変電所,宮城県,一致なし,,,
981,更科変電所,福島県,一致なし,,,
982,本宮変電所,福島県,一致なし,,,
983,本宮南変電所,福島県,一致なし,,,
984,本町変電所,新潟県,一致なし,,,
985,本町通変電所,山形県,一致なし,,,
986,本郷変電所,福島県,一致なし,,,
987,杉田変電所,福島県,一致なし,,,
988,村上変電所,新潟県,一致なし,,,
989,東三条変電所,新潟県,一致なし,,,
991,東栃尾変電所,新潟県,一致なし,,,
993,東直江津変電所,新潟県,一致なし,,,
994,東酒田変電所,山形県,一致なし,,,
995,東釜子変電所,福島県,一致なし,,,
996,松の平変電所,宮城県,一致なし,,,
997,松代変電所,新潟県,一致なし,,,
998,松坂変電所,宮城県,一致なし,,,
999,松島変電所,宮城県,一致なし,,,
1000,松波変電所,山形県,一致なし,,,
1001,松浜変電所,新潟県,一致なし,,,
1002,松浦変電所,新潟県,一致なし,,,
1003,板谷変電所,福島県,一致なし,,,
1004,柏崎変電所,新潟県,一致なし,,,
1005,柳町通変電所,宮城県,一致なし,,,
1006,栄変電所,新潟県,一致なし,,,
1008,栄町通変電所,山形県,一致なし,,,
1009,桐島変電所,新潟県,一致なし,,,
1010,梁川変電所,福島県,一致なし,,,
1011,棚倉変電所,福島県,一致なし,,,
1012,森宿変電所,福島県,一致なし,,,
1013,楢森変電所,秋田県,一致なし,,,
1014,楢橋変電所,山形県,一致なし,,,
1015,榴岡変電所,宮城県,一致なし,,,
1016,比角変電所,新潟県,一致なし,,,
1017,水原変電所,新潟県,一致なし,,,
1018,沢変電所,岩手県,一致なし,,,
1019,河原町変電所,岩手県,一致なし,,,
1020,河東変電所,福島県,一致なし,,,
1021,沼垂変電所,新潟県,一致なし,,,
1022,浜中変電所,山形県,一致なし,,,
1023,浪江変電所,福島県,一致なし,,,
1024,清水変電所,福島県,一致なし,,,
1025,滝沢変電所,福島県,一致なし,,,
1026,潟町変電所,新潟県,一致なし,,,
1027,熱海変電所,福島県,一致なし,,,
1028,猪苗代変電所,福島県,一致なし,,,
1029,田口変電所,新潟県,一致なし,,,
1030,田島変電所,福島県,一致なし,,,
1031,田海変電所,新潟県,一致なし,,,
1032,登米変電所,宮城県,一致なし,,,
1033,白坂変電所,福島県,一致なし,,,
1034,白山変電所,新潟県,一致なし,,,
1035,白根変電所,新潟県,一致なし,,,
1036,白河変電所,福島県,一致なし,,,
1037,盛岡中央変電所,岩手県,一致なし,,,
1038,直江津変電所,新潟県,一致(新潟県),37.163692,138.230984,直江津変電所
1039,真室川変電所,山形県,一致なし,,,
1040,矢吹変電所,福島県,一致なし,,,
1042,石岡変電所,山形県,一致なし,,,
1043,石川変電所,福島県,一致なし,,,
1044,石打変電所,新潟県,一致なし,,,
1045,礼拝変電所,新潟県,一致なし,,,
1046,神林変電所,新潟県,一致なし,,,
1047,神立変電所,新潟県,一致なし,,,
1048,福田町変電所,宮城県,一致なし,,,
