No.,変電所名,照合結果,記入した列,既存値との差異(未上書き),CSV/バンク
182,当別変電所,一致なし,,,
183,当麻変電所,一致(110/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local03_Tr_202607_01.csv
184,御崎変電所,一致なし,,,
185,御影変電所,一致なし,,,
186,忠別川変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local03_Tr_202607_01.csv
187,忠和変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local02_Tr_202607_01.csv
188,恵南変電所,一致なし,,,
189,恵山変電所,一致なし,,,
190,愛国変電所,一致なし,,,
191,戸井変電所,一致なし,,,
192,手稲変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local07_Tr_202607_01.csv
193,拓北変電所,一致なし,,,
194,振内変電所,一致なし,,,
195,文珠変電所,一致なし,,,
196,斜里変電所,一致(66/33kV),"cap,opcap,flow",,sys_capa_local05_Tr_202607_01.csv
197,新光変電所,一致なし,,,
198,新十津川変電所,一致なし,,,
199,新岩松変電所,一致なし,,,
200,新得変電所,一致なし,,,
201,新旭川変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local03_Tr_202607_01.csv
202,新星変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local02_Tr_202607_01.csv
203,新琴似変電所,一致なし,,,
204,日の出変電所,一致なし,,,
205,早来変電所,一致なし,,,
206,旭川中央変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local02_Tr_202607_01.csv
207,昆布変電所,一致なし,,,
208,明野変電所,一致なし,,,
209,星が浦変電所,一致なし,,,
210,晩翠変電所,一致なし,,,
211,智恵文変電所,一致(22/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
212,曲渕変電所,一致(33/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
213,月寒変電所,一致なし,,,
214,望来変電所,一致なし,,,
215,木古内変電所,一致なし,,,
216,木野変電所,一致なし,,,
217,末広変電所,一致なし,,,
218,本別変電所,一致なし,,,
219,本輪西変電所,一致なし,,,
220,札内変電所,一致なし,,,
221,朱鞠内変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
222,東光変電所,一致(110/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local03_Tr_202607_01.csv
223,東山変電所,一致なし,,,
224,東岩見沢変電所,一致なし,,,
225,東川変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local03_Tr_202607_01.csv
226,東札幌変電所,一致なし,,,
227,東根室変電所,一致なし,,,
228,東町変電所,一致なし,,,
229,東美園変電所,一致なし,,,
230,東藻琴変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local05_Tr_202607_01.csv
231,東雲変電所,一致なし,,,
232,松前変電所,一致なし,,,
233,枝幸変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
234,柏原変電所,一致なし,,,
235,柏木変電所,一致なし,,,
236,栗山変電所,一致なし,,,
237,根室変電所,一致なし,,,
238,桑園変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local06_Tr_202505_01.csv
239,桜ヶ岡変電所,一致なし,,,
240,森変電所,一致なし,,,
241,標津変電所,一致なし,,,
242,樽川変電所,一致(66/6.6kV),"vsec,cap,opcap,avail,avail_up,n1,curtail",,sys_capa_local07_Tr_202607_01.csv
243,橋北変電所,一致なし,,,
244,歌登変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
245,比羅夫変電所,一致なし,,,
246,永山変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local03_Tr_202607_01.csv
247,江別変電所,一致なし,,,
248,江卸変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local03_Tr_202607_01.csv
249,江差変電所,一致なし,,,
250,江部乙変電所,一致なし,,,
251,池田変電所,一致なし,,,
252,沢木変電所,一致(22/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local04_Tr_202607_01.csv
253,沼ノ端変電所,一致なし,,,
254,沼田変電所,一致なし,,,
255,泉沢変電所,一致なし,,,
256,洞爺変電所,一致なし,,,
257,津別変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local04_Tr_202607_01.csv
258,浜中変電所,一致なし,,,
259,浜益変電所,一致なし,,,
260,浜頓別変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
261,浜頓別開閉所,一致なし,,,
262,浦幌変電所,一致なし,,,
263,浦河変電所,一致なし,,,
264,深川変電所,一致なし,,,
265,清水変電所,一致なし,,,
266,清水川変電所,一致なし,,,
267,清見変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local04_Tr_202607_01.csv
